title,artist,album,year,genre,label,file_path,tempo,timbre
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/Cadans - Clocked [CBS028].mp3,103.359375,"-171.79668,50.32175,37.694077,34.55678,2.4648778,21.234356,3.096159,12.463824,7.151916,13.159694,4.140882,9.214695,6.737182,4.4498434,2.2763662,7.6581035,6.036036,6.4038467,0.23404628,2.6944966"
No Connection (Broken Mix),Cadans,No Connection,2019-04-05,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/Cadans - No Connection (Broken Mix).mp3,66.25600961538461,"-101.31477,115.60633,8.083444,24.466785,-0.45673975,20.670393,5.715885,9.533466,0.51275384,7.240091,3.454541,9.436681,-0.3442994,-1.4087648,-5.5624647,-1.0473604,1.1484704,8.901914,-0.1368262,-0.2365216"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/Cadans - No Connection.mp3,129.19921875,"-105.59393,101.09577,21.820477,42.459618,-3.69061,22.465485,6.139981,12.391787,1.1674812,10.638111,5.5469804,11.622049,4.91243,3.125565,-3.3412702,2.5229595,0.2547442,7.0310493,2.7210667,1.7497479"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/Cadans - Uncuttable.mp3,129.19921875,"-144.0409,71.84512,4.228911,19.463331,5.9179792,4.7084193,7.339833,12.960622,0.65303206,16.324467,10.348845,13.579547,7.8725634,8.239447,7.901655,4.3997827,4.003313,5.356696,1.4528993,4.4287834"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/Clarence G - Hyperspace Sound Lab - Clone Aqualung Series 006⧸C#C33 E⧸F.mp3,129.19921875,"-102.30375,84.98441,28.015665,21.231972,8.35596,14.568466,0.17613536,11.5372,-2.2913826,8.744794,0.90006995,3.874633,1.3109252,2.6588616,-0.32152873,2.0486305,-2.432886,3.873445,-1.3424531,1.1129979"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/Clone Label Night： ＊ Jack For Daze ＊ Studio 80 Amsterdam.mp3,123.046875,"-104.05978,104.53946,-18.763098,28.930994,-0.9503651,4.4758124,3.0768442,5.239741,-0.9512631,4.1270285,-11.050936,1.455404,4.4876347,6.1183414,1.5330256,8.549105,1.9321012,-1.090436,-0.62693405,3.2530637"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/Cosmic Garden - Lifetime (Clone Royal Oak 041).mp3,129.19921875,"-68.88019,68.85561,14.499692,24.945435,2.292588,18.073484,-3.6513724,4.2636075,6.609215,8.762183,0.5983026,8.510647,1.476997,3.0767221,2.184006,6.511838,-1.9581635,2.157053,-2.719555,1.6714242"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/Cosmic Garden - On My Mind (Clone Royal Oak 041).mp3,129.19921875,"-82.24751,71.982185,27.35088,21.880707,-0.82797056,17.661882,-6.4057236,7.42278,1.8147099,4.6511173,-3.9288986,5.0036454,-6.0532875,4.46679,-4.78648,0.24427393,-3.3896856,2.417826,-6.1606283,0.67803735"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/D.I.E. - Detroit Party Train.mp3,69.83741554054055,"-59.958218,46.57081,9.985534,2.229546,12.227176,14.645594,3.729334,16.676073,-1.1887486,13.319021,8.679223,1.5633336,3.067821,9.038659,-3.949381,6.9206777,5.5316544,-0.12578645,4.538764,8.576427"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/D.I.E. - Detroit TechnoBass.mp3,143.5546875,"-83.174065,58.252087,2.4756613,25.711327,11.885413,21.054607,9.046336,19.541817,8.151491,11.17729,3.773656,9.340196,5.155144,8.678284,5.017672,6.8808136,3.4623468,5.6330023,-0.42112222,4.1508927"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/D.I.E. - Dutch Frieds.mp3,117.45383522727273,"-71.170044,86.689415,16.39072,10.172909,20.414747,22.844034,1.7450774,9.54318,3.3184726,10.094935,-3.0555222,6.7938275,5.029914,4.6688776,1.6953025,3.8980856,7.9596405,9.127303,1.8652104,0.4285606"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/D.I.E. - FM Sucks (Give It To 'Em).mp3,143.5546875,"-121.752106,29.926657,-9.80734,11.382664,6.9923234,19.51776,10.056973,13.492377,2.882589,9.806729,1.7580074,8.137633,0.18567103,5.992401,6.3978353,6.423792,2.0563443,5.2835608,2.930867,2.952994"
,,,,,clone.nl,/mnt/d/MIR_music/clone_ytdlp/D.I.E. - Nothing's Like Detroit.mp3,129.19921875,"-66.74276,57.03535,-10.654216,24.65192,17.925808,21.58504,4.1950293,19.349169,3.5499024,8.54018,0.4676657,9.167515,1.0303742,4.124358,3.5817716,5.941855,1.6719966,4.1800184,1.9317636,5.667142"
