title,artist,album,year,genre,label,file_path,tempo,timbre
Music (Body Mix),Elgato,116 And Rising (Hessle Audio),2011,Bass,Hessle Audio,/mnt/d/MIR_music/Hessle/116 & Rising (HESCD001) [Compilation 2CD] (2011)/101-elgato--music_(body_mix)-cmc.mp3,80.74951171875,"-191.4258,37.66331,11.999463,36.0556,6.7171063,14.201671,-0.81429505,-0.7743065,-1.8191901,2.2785404,1.8468963,0.94205534,-4.224796,5.8581414,7.0149627,13.205144,5.7817435,2.0121796,-1.3590424,3.4088001"
Cool Story Bro,Untold,116 And Rising (Hessle Audio),2011,Bass,Hessle Audio,/mnt/d/MIR_music/Hessle/116 & Rising (HESCD001) [Compilation 2CD] (2011)/102-untold--cool_story_bro-cmc.mp3,129.19921875,"-140.3423,50.61985,2.5861566,9.440292,6.500138,11.325799,3.2711823,9.075151,0.22217336,6.14746,3.2507033,8.172687,2.8566952,6.136724,-0.21706009,4.434727,-2.0588322,0.8497223,-0.8586243,2.7167146"
Potchla Vee,Blawan,116 And Rising (Hessle Audio),2011,Bass,Hessle Audio,/mnt/d/MIR_music/Hessle/116 & Rising (HESCD001) [Compilation 2CD] (2011)/103-blawan--potchla_vee-cmc.mp3,92.28515625,"-117.54846,85.95557,18.44765,19.00961,6.3952713,13.839336,2.000016,1.3762311,-2.6207383,7.155535,1.0783621,7.6623588,2.4179974,3.2357972,-1.0713894,2.7145429,-6.0716977,2.6561253,-0.94616705,1.9108707"
Stifle,Pearson Sound,116 And Rising (Hessle Audio),2011,Bass,Hessle Audio,/mnt/d/MIR_music/Hessle/116 & Rising (HESCD001) [Compilation 2CD] (2011)/104-pearson_sound--stifle-cmc.mp3,129.19921875,"-162.59639,31.813488,12.293446,19.203798,2.5887203,21.025787,6.030582,5.3597145,6.539422,9.128276,4.288986,14.602152,-3.0822012,5.0273733,-2.0589206,11.704708,4.599508,15.131548,6.2294035,5.255181"
Twice,Joe,116 And Rising (Hessle Audio),2011,Bass,Hessle Audio,/mnt/d/MIR_music/Hessle/116 & Rising (HESCD001) [Compilation 2CD] (2011)/105-joe--twice-cmc.mp3,117.45383522727273,"-109.76435,72.26894,19.746553,-2.3594792,-1.8030602,2.5349567,-6.868069,-1.2450237,-0.9465653,-1.4589238,-3.6716857,7.6021023,-2.8601925,3.7983892,-2.1631818,2.5042455,-0.9694561,4.834581,-3.7840958,0.103265435"
Brunk,Randomer,116 And Rising (Hessle Audio),2011,Bass,Hessle Audio,/mnt/d/MIR_music/Hessle/116 & Rising (HESCD001) [Compilation 2CD] (2011)/106-randomer--brunk-cmc.mp3,135.99917763157896,"-157.64653,71.3122,-5.1026235,27.910728,4.3442664,20.105562,-0.7707048,6.26949,2.4942715,2.8142223,-2.7947102,7.139591,-3.370705,3.1200695,1.806188,1.4593288,0.5330029,1.6871967,-1.1145053,1.2997782"
Runout,Pangaea,116 And Rising (Hessle Audio),2011,Bass,Hessle Audio,/mnt/d/MIR_music/Hessle/116 & Rising (HESCD001) [Compilation 2CD] (2011)/107-pangaea--runout-cmc.mp3,135.99917763157896,"-79.098564,107.024506,-11.502656,34.68998,7.7077217,12.93378,1.4971987,7.214819,-1.713185,4.656718,-0.35200363,2.4922712,-2.0273802,3.3397646,-2.588767,1.5373405,-1.8452387,3.320043,0.27483007,3.5438764"
Bijoux,Cosmin TRG,116 And Rising (Hessle Audio),2011,Bass,Hessle Audio,/mnt/d/MIR_music/Hessle/116 & Rising (HESCD001) [Compilation 2CD] (2011)/108-cosmin_trg--bijoux-cmc.mp3,123.046875,"-112.93209,84.16109,16.777983,37.105656,-1.3029635,15.903895,1.3621631,13.457454,1.3539323,4.419326,-0.4357373,4.85932,-1.6415558,2.231736,1.4011606,7.1751294,0.57124305,4.8942037,1.5163827,3.7625978"
Sub Zero,D1,116 And Rising (Hessle Audio),2011,Bass,Hessle Audio,/mnt/d/MIR_music/Hessle/116 & Rising (HESCD001) [Compilation 2CD] (2011)/109-d1--sub_zero-cmc.mp3,92.28515625,"-152.28233,52.739,14.153701,17.62169,16.426807,29.0738,20.441034,18.691671,7.2087126,8.468169,2.443788,5.7458878,0.8499264,4.6348314,0.5607218,4.100413,0.25499207,2.8841116,0.24138728,4.6866536"
Fuk Tha 101,Addison Groove,116 And Rising (Hessle Audio),2011,Bass,Hessle Audio,/mnt/d/MIR_music/Hessle/116 & Rising (HESCD001) [Compilation 2CD] (2011)/110-addison_groove--fuk_tha_101-cmc.mp3,92.28515625,"-144.92978,102.605606,7.9252014,27.276958,17.098999,16.812403,5.00827,10.368399,-2.3076155,6.3301525,1.6480361,6.3494973,1.1148208,4.917711,3.8029213,5.080873,1.9170125,7.0941644,4.85079,6.9014826"
