,title,artist,album,year,genre,label,file_path,tempo,timbre,genres,styles
0,Modul8 (ItaloJohnson Remix),DJ Haus,,2019,,Unknown to the Unknown,/mnt/d/UTTU/DJ Haus - Modul8 (ItaloJohnson Remix).mp3,129.19921875,"-199.38026,88.61918,34.8789,26.653543,11.230676,23.920038,4.872302,12.29483,4.630765,7.6691976,4.000138,6.286042,3.3407152,3.5829272,2.7088993,3.8398848,2.7545664,3.8295171,1.495677,3.8402607",Electronic,House
1,Shadow Man,Neil Landstrumm,,2019,,Unknown to the Unknown,/mnt/d/UTTU/Neil Landstrumm - Shadow Man.mp3,129.19921875,"-114.02061,81.57262,14.780435,17.86424,15.399664,19.730774,10.922003,22.101715,10.25142,9.544202,2.9448013,10.290255,7.3585286,11.85481,5.9106092,1.9607052,-4.9882913,-8.432377,-10.327429,-3.488282",Electronic,Techno
2,Fluid Funk,Elisa Bee,Fluid Funk,2023,,Unknown to the Unknown,/mnt/d/UTTU/'/Elisa Bee - Fluid Funk - 01 Fluid Funk.mp3,112.34714673913044,"-129.48328,63.040688,-4.4237905,43.902008,22.440336,36.15236,2.7206945,4.227622,4.4949155,14.793113,6.248918,4.703199,-2.9525588,13.686717,6.8587,0.896006,-1.6379439,0.73428607,3.6538086,2.758317",Electronic,Techno
3,Yes Yes,Elisa Bee,Fluid Funk,2023,,Unknown to the Unknown,/mnt/d/UTTU/'/Elisa Bee - Fluid Funk - 02 Yes Yes.mp3,112.34714673913044,"-58.096172,53.636196,-8.037225,16.690744,6.209156,19.309181,2.583596,21.880913,4.3365216,10.590914,-1.0112262,5.722304,-2.4875255,5.6990924,2.4201238,4.4955535,-0.79632306,3.9120345,1.3318146,2.0554104",Electronic,Techno
4,Pins and Needles,Elisa Bee,Fluid Funk,2023,,Unknown to the Unknown,/mnt/d/UTTU/'/Elisa Bee - Fluid Funk - 03 Pins and Needles.mp3,143.5546875,"-77.44738,51.692883,2.159064,27.919512,6.9823833,25.925426,9.133098,16.385906,1.6527804,13.226633,4.271673,6.8096514,1.1251986,1.9805574,-2.8456008,3.8175652,0.80966485,5.882615,1.4008915,2.263969",Electronic,Techno
5,Forever Seeking,Elisa Bee,Fluid Funk,2023,,Unknown to the Unknown,/mnt/d/UTTU/'/Elisa Bee - Fluid Funk - 04 Forever Seeking.mp3,69.83741554054055,"-90.65801,109.44486,5.977253,24.48401,2.7023897,15.245692,5.371728,10.288377,0.72152585,5.3298254,0.21672063,3.4716659,-0.85656065,1.6610073,-2.167205,1.058015,0.03369291,2.4007175,-3.0615823,-1.5936239",Electronic,Techno
6,Warm Fuzz,3STRANGE,The New World,2020,,Unknown to the Unknown,/mnt/d/UTTU/3STRANGE/3STRANGE - The New World - 01 Warm Fuzz.mp3,92.28515625,"-134.38597,126.08912,10.471413,17.86929,4.5215964,13.765,1.3947555,1.2972776,0.42185855,5.536709,-0.6755157,2.4663508,-2.7566428,1.1867255,-4.3982368,-1.0943391,-2.8485794,1.6638416,-2.114007,-0.34727404",Electronic,"Ambient, Chillwave"
7,The New World,3STRANGE,The New World,2020,,Unknown to the Unknown,/mnt/d/UTTU/3STRANGE/3STRANGE - The New World - 02 The New World.mp3,172.265625,"-155.85399,168.07483,-12.205691,21.814245,2.4667134,6.7616906,-6.425164,-0.80835277,-5.5128036,-3.583037,-2.4946537,-1.8056642,-3.0608969,-8.083006,-8.380206,-9.427499,-9.167492,-4.243405,-4.7966437,-3.0477238",Electronic,"Ambient, Chillwave"
8,Pale Blue Dot,3STRANGE,The New World,2020,,Unknown to the Unknown,/mnt/d/UTTU/3STRANGE/3STRANGE - The New World - 03 Pale Blue Dot.mp3,123.046875,"-72.34656,117.09261,-60.11216,42.919075,-23.774967,5.488897,-10.286627,1.8645236,-11.217464,-2.4506202,-11.527761,-7.743653,-11.1323185,-5.1951327,-5.806877,-2.4322443,-6.6245656,-6.178954,-9.934464,-5.2654405",Electronic,"Ambient, Chillwave"
9,Lost,3STRANGE,The New World,2020,,Unknown to the Unknown,/mnt/d/UTTU/3STRANGE/3STRANGE - The New World - 04 Lost.mp3,161.4990234375,"-275.59268,179.85838,-10.269643,10.1854515,-6.653932,-12.546992,-3.842698,-9.312254,-0.5048963,-5.4655294,-11.153566,-5.5731263,-4.8241987,0.047821477,-0.8418461,-1.5112792,-1.7794002,-3.1876476,-1.3053924,-1.9980714",Electronic,"Ambient, Chillwave"
10,Gold Diggin',"3STRANGE, Alan Fitzpatrick",Cyclone Jazz EP,2020,,Unknown to the Unknown,"/mnt/d/UTTU/3STRANGE, Alan Fitzpatrick/3STRANGE, Alan Fitzpatrick - Cyclone Jazz EP - 01 Gold Diggin'.mp3",103.359375,"-25.893187,75.62746,-12.4944515,25.450714,8.001978,21.690773,0.6757876,6.9923,0.5927598,1.0410314,2.7743688,-0.52193934,-0.7484022,-1.0117433,-1.593507,0.46896577,-6.204555,1.6768064,-8.178342,-1.5015386",Search Failed,Search Failed
11,Fly On The Wall,"3STRANGE, Alan Fitzpatrick",Cyclone Jazz EP,2020,,Unknown to the Unknown,"/mnt/d/UTTU/3STRANGE, Alan Fitzpatrick/3STRANGE, Alan Fitzpatrick - Cyclone Jazz EP - 02 Fly On The Wall.mp3",73.828125,"-85.14944,83.65128,-23.568785,15.195534,-2.9197016,9.4366255,-3.3961241,2.9677465,-0.58792716,-2.4109454,-6.2803187,-1.2144372,-6.781067,-2.9921033,-4.681549,-0.45717722,-1.9190166,2.498863,-1.7826682,1.1337003",Search Failed,Search Failed
12,Sound City,"3STRANGE, Alan Fitzpatrick",Cyclone Jazz EP,2020,,Unknown to the Unknown,"/mnt/d/UTTU/3STRANGE, Alan Fitzpatrick/3STRANGE, Alan Fitzpatrick - Cyclone Jazz EP - 03 Sound City.mp3",161.4990234375,"-104.33979,68.5713,21.827744,20.78441,2.469141,11.102341,-0.43046767,-1.1401715,-4.9333487,-0.054464616,-6.244217,-2.9734404,-9.292468,-5.2460337,-8.144492,-1.5899197,-6.026437,1.4553053,1.58225,-1.669638",Search Failed,Search Failed
13,Cyclone Jazz,"3STRANGE, Alan Fitzpatrick",Cyclone Jazz EP,2020,,Unknown to the Unknown,"/mnt/d/UTTU/3STRANGE, Alan Fitzpatrick/3STRANGE, Alan Fitzpatrick - Cyclone Jazz EP - 04 Cyclone Jazz.mp3",117.45383522727273,"-262.48068,118.724556,-8.462334,22.401396,18.094925,12.942465,8.172275,2.7121031,5.2659354,1.5490826,2.2728724,5.7551904,1.6696801,0.8949421,-1.7121564,-0.7962882,-0.5307974,1.2997129,0.22398153,-3.066615",Search Failed,Search Failed
14,Ode To Eno,"3STRANGE, Alan Fitzpatrick",Cyclone Jazz EP,2020,,Unknown to the Unknown,"/mnt/d/UTTU/3STRANGE, Alan Fitzpatrick/3STRANGE, Alan Fitzpatrick - Cyclone Jazz EP - 05 Ode To Eno.mp3",129.19921875,"-289.446,139.58543,-20.537504,2.8611693,-11.742907,-16.638796,-4.6639037,-9.302511,-11.5359335,-3.9079933,-5.0789847,-6.143823,1.0098629,14.750722,19.248116,18.7876,15.211685,6.680053,-4.498558,-7.5282907",Search Failed,Search Failed
15,Make U Understand,5kinandBone5,Make U Understand / Reset,2012-02-06,,Unknown to the Unknown,/mnt/d/UTTU/5kinAndBone5/5kinAndBone5 - Make U Understand - 01 Make U Understand.mp3,89.10290948275862,"-177.6755,95.94564,15.635957,9.011345,1.0283483,9.163767,-0.7192898,0.42605606,-9.480864,-6.6723466,-10.423143,-5.285195,-4.818497,-1.2610447,-4.448613,0.63222,-1.6832865,1.738202,0.78636116,4.969556",Search Failed,Search Failed
16,Reset,5kinandBone5,Make U Understand / Reset,2012-02-06,,Unknown to the Unknown,/mnt/d/UTTU/5kinAndBone5/5kinAndBone5 - Make U Understand - 02 Reset.mp3,86.1328125,"-187.22461,96.97226,6.9289865,8.18768,1.56467,10.030065,4.1329994,9.029302,3.7819724,6.4174466,1.8593138,2.4763935,1.2278421,4.648872,2.714205,2.429523,-0.08079534,1.1479132,-0.21787813,2.6789749",Search Failed,Search Failed
17,Phoenica,9th House,9th House - Phoenica + Loods Remix,2021,,Unknown to the Unknown,/mnt/d/UTTU/9th House/9th House - 9th House - Phoenica + Loods Remix - 01 Phoenica.mp3,123.046875,"-84.93502,58.47037,14.674264,23.147816,0.07046747,11.495614,-2.5786831,6.329691,-2.158557,3.2223756,-2.3697515,4.061891,1.2807474,7.8527393,1.9234846,2.3420289,-3.9347765,1.8987632,-2.307657,0.5913174",Search Failed,Search Failed
